id,publish_date,headline_category,headline_text
126,20010103,unknown,Talent Search exams on April 29
127,20010103,unknown,Ban orders extended in Ranebennur
128,20010103,unknown,Army turns to HAL for Lancer supply
129,20010104,business.india-business,Car dealers caught in Bihar sales tax ruling
130,20010104,city.bengaluru,He's not so inscrutable
131,20010104,city.bengaluru,Three in race for chief secy's post
132,20010104,city.delhi,DPCC stages Nyay rally
133,20010104,city.patna,Druggists' stir leads to shortage of medicines
134,20010104,hollywood,Space Cowboys
135,20010104,india,'Dudhwa tiger died of starvation; not poisoning'
136,20010104,unknown,The string that pulled Stephen Hawking to India
137,20010104,unknown,Vajpayee gives big push to tech education; R&D
138,20010104,unknown,Norms for private role in banking tightened
139,20010104,unknown,A Maha Kumbh of media players
140,20010104,unknown,Net lottery: A winner or a sucker?
141,20010104,unknown,Us and the PM's Musings
142,20010104,unknown,Milosevic to be charged with 'abuse of office'
143,20010104,unknown,Tabu: Bar Bar Dekho
144,20010104,unknown,Anupam Kher: Sliver Spoon!
145,20010104,unknown,Aftab Shivdasani: Career Cares!
146,20010104,unknown,Court reserves judgment on custody of Ilyasi's daughter
147,20010104,unknown,A museum far from the madding crowds
148,20010104,unknown,Bangla Oppn leader issues 'fatwa' against judges
149,20010104,unknown,Hawking set to inspire science glitterati
150,20010104,unknown,Mission for technology education; more funds for R&D
151,20010104,unknown,Mental illness can pass from parent to child
152,20010104,unknown,Cholera outbreak source traced
153,20010104,unknown,'Mathematics permeates human civilisation'
154,20010104,unknown,Bangla Oppn leader issues 'fatwa' against judges
155,20010104,unknown,Bangladesh govt asks for Hamoodur Rahman report
156,20010104,unknown,Bangladesh 'scrutinising' citizen's death in US embassy
157,20010104,unknown,Claire Danes inks to star in 'It's About Love'
158,20010104,unknown,Hollywood posts record 9th year of box office gains
159,20010104,unknown,Akashdeep: Ghaath Ka Saath!
160,20010104,unknown,Great loss to Indian racing
161,20010104,unknown,The saga of Usha Stud Farm
162,20010104,unknown,Red Radior wins Victory Zone Cup
163,20010104,unknown,Race put off
164,20010104,unknown,Cyril sends Byron Black packing
165,20010104,unknown,Dent has the fastest serve in Chennai meet
166,20010104,unknown,Basu gives call to stop infighting
167,20010104,unknown,Violence mar Mamata's meeting in Midnapore
168,20010104,unknown,The string that pulled Stephen Hawking to India
169,20010104,unknown,Norms for private role in banking tightened
170,20010104,unknown,Net lottery: A winner or a sucker?
171,20010104,unknown,Us and the PM's Musings
172,20010104,unknown,Milosevic to be charged with 'abuse of office'
173,20010104,unknown,Tabu: Bar Bar Dekho
174,20010104,unknown,Anupam Kher: Sliver Spoon!
175,20010104,unknown,Court reserves judgment on custody of Ilyasi's daughter
176,20010104,unknown,A museum far from the madding crowds
177,20010104,unknown,Bangla Oppn leader issues 'fatwa' against judges
178,20010104,unknown,Court reserves judgment on custody of Ilyasi's daughter
179,20010104,unknown,String theory set to become one of hottest pieces of physics
180,20010104,unknown,Hawking set to inspire science glitterati
181,20010104,unknown,Mission for technology education; more funds for R&D
182,20010104,unknown,Mission for technology education; more funds for R&D
183,20010104,unknown,Mental illness can pass from parent to child
184,20010104,unknown,Cholera outbreak source traced
185,20010104,unknown,'Mathematics permeates human civilisation'
186,20010104,unknown,The string that pulled Stephen Hawking to India
187,20010104,unknown,Vajpayee gives big push to tech education; R&D
188,20010104,unknown,Norms for private role in banking tightened
189,20010104,unknown,A Maha Kumbh of media players
190,20010104,unknown,Net lottery: A winner or a sucker?
191,20010104,unknown,Us and the PM's Musings
192,20010104,unknown,Milosevic to be charged with 'abuse of office'
193,20010104,unknown,Tabu: Bar Bar Dekho
194,20010104,unknown,Anupam Kher: Sliver Spoon!
195,20010104,unknown,Aftab Shivdasani: Career Cares!
196,20010104,unknown,Court reserves judgment on custody of Ilyasi's daughter
197,20010104,unknown,A museum far from the madding crowds
198,20010104,unknown,Four more Iranians admit to role in serial murders
199,20010104,unknown,Bangla Oppn leader issues 'fatwa' against judges
200,20010104,unknown,String theory set to become one of hottest pieces of physics
201,20010104,unknown,Hawking set to inspire science glitterati
202,20010104,unknown,Mission for technology education; more funds for R&D
